proEnglishName,proImgUrl,proName,proTypeId,productId
CFB Creator's Model Kohryu Kushala Daora resell version,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20190312213303175859.jpg,怪物猎人 CFB 钢龙 复刻版 手办模型,38,6080
Devil May Cry 5 Hoddie,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20190227213203563505.jpg,鬼泣5 官方主题外套 卫衣,36,6070,
Devil May Cry 5 T-shirt,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20190227213203544061.jpg,鬼泣5 官方主题T恤,36,6069
Nintendo DREAM 2019-4 Magazine,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20190225104101111649.jpg,任天堂 Nintendo DREAM 杂志 ニンテンドードリーム 2019年4月,35,6068
MH Monster Plush - Dodogama,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20190224232801369968.jpg,怪物猎人怪物毛绒公仔玩偶 - 岩贼龙,38,6065
MH Monster Plush - Kulve Taroth,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20190224232604753214.jpg,怪物猎人怪物毛绒公仔玩偶 - 绚辉龙,38,6064
Legend of Zelda Sheikah Eye Heat Change Mug,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20190217225400033639.jpg,塞尔达传说变色陶瓷杯,37,6051
Legend of Zelda Sheikah Slate Light,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20190217225504775136.jpg,塞尔达传说席卡石板夜灯,37,6048
Super Mario Question Block Keyring Light,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20190217212802850038.jpg,超级马里奥（马力欧）声光钥匙扣,39,6043
Super Mario Mushroom Light,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20190217222005470762.jpg,超级马里奥（马力欧）蘑菇小夜灯,37,6039
CFB monster hunter standard model plus Vol.13,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20190217175801051237.jpg,怪物猎人CFB怪物模型盲包盒蛋 第13弹（随机一款）,38,6019
