type,classID,className,pid,updateNum,url
Game,369,Anthem,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20190215151003980592.png
Game,168,Assassin's Creed,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20171106122502394540.png
Game,225,Battlefield,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20170914112505097054.png
Game,205,Call of Duty,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20180319121104754497.png
Game,172,Dark Souls,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20170903154602617764.png
Game,371,Devil May Cry 5,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20190227212001721698.png
Game,239,Monster Hunter,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20170916105600730272.png
Game,208,Nintendo,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20180319121105585980.png
Game,306,Kirby,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20180301193203273629.png
Game,186,Overwatch,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20171106144104086729.png
Game,187,PlayStation,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20180319115400299166.png
Game,190,Resident Evil/Biohazard,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20171106145004212477.png
Game,191,Super Mario,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20180319115305051005.png
Game,234,The Division,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20170915104802838609.png
Game,199,Zelda,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20180319115205027655.png
Game,180,Halo,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20171106143901524663.png
Game,177,Fallout,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20180319115403043249.png
Game,184,Metal Gear Solid,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20180319121004157942.png
Game,291,Final Fantasy,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20171105184203317476.png
Game,272,Sonic,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20180319121101817919.png
Game,194,Titanfall,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20171106150102876623.png
Game,197,The Witcher,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20171106153001267436.png
Game,192,The Elder Scrolls,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20171106150004418663.png
Game,195,Uncharted,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20170901122902879021.png
Game,263,Destiny,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20170916142101045996.png
Game,185,Minecraft,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20171106152205410929.png
Game,182,Horizon Zero Dawn,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20171106144100312511.png
Game,169,Bioshock,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20171106122804279310.png
Game,170,Bloodborne,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20171106123904026879.png
Game,171,Borderlands,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20171106135301039045.png
Game,173,Dead Island,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20171106135603532586.png
Game,174,Deus Ex,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20171106135604713154.png
Game,175,Dishonored,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20171106140300023984.png
Game,176,DOOM,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20180319115305691097.png
Game,210,Dragon Age,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20180319121103869903.png
Game,238,Fire Emblem,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20170916100701870781.png
Game,265,Five Nights at Freddy's,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20170916142702331487.png
Game,178,Gears Of War,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20171106140605866768.png
Game,179,God Of War,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20180515123803094971.png
Game,279,Ghost Recon Wildlands,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20170918161301551061.png
Game,220,HearthStone,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20170908202800727119.png
Game,275,Journey,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20170918155904811797.png
Game,229,Killzone,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20170915112004279519.png
Game,299,Little Big Planet,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20180108151305243888.png
Game,183,Mass Effect,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20171106152600364032.png
Game,276,Monument Valley,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20170918155904841959.png
Game,289,Mario Rabbids KingdomBattle,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20171023151001482571.png
Game,214,Mafia 3,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20180319120905490170.png
Game,235,Naughty Dog,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20171106151005016044.png
Game,360,NieR Automata,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20180912114001445744.png
Game,188,Portal,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20171106144903536064.png
Game,189,Prey,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20170901121503750833.png
Game,261,Pokemon,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20170916141605414967.png
Game,288,Persona 5,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20171023143201446733.png
Game,361,PUBG,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20180914141602712028.png
Game,227,Quantum Break,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20170914103701476932.png
Game,283,Quake,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20171106145001190635.png
Game,224,ReCore,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20180319121204749893.png
Game,219,Rocket League,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20170907194205235690.png
Game,223,ShovelKnight,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20170909120005316549.png
Game,203,Street Fighter,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20170904144004453911.png
Game,285,Splatoon,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20170919120605194955.png
Game,243,StarFox,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20170916111403914152.png
Game,314,StarCraft,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20180330170505247404.png
Game,193,The Last of Us,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20171106145303478007.png
Game,218,Team Fortress 2,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20170907184902810775.png
Game,339,Arms,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20180502181701772311.png
Game,241,Tomb Raider,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20170916105204886762.png
Game,257,The Last Guardian,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20170916141802449113.png
Game,231,World of Warcraft,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20170915112204945557.png
Game,196,WatchDogs,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20170916105003881097.png
Game,198,Wolfenstein,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20180319115405578342.png
Game,233,XCOM2,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20170915120400890564.png
Game,292,Crash Bandicoot,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20171105183602058856.png
Game,297,The Evil Within,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20180105120005137863.png
Game,298,Ace Attorney,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20180105150501867192.png
Game,301,Counter Strike,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20180111154903052743.png
Game,302,Farcry,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20180118112505517056.png
Game,305,Pillars of Eternity,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20180222175102919142.png
Game,331,Magic The Gathering,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20180523175702925608.png
Game,344,Paradox,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20180724185305018216.png
Game,349,We Happy Few,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20180821155204954799.png
Game,363,Mirror's Edge,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20170916095803995201.png
Game,365,Megaman,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20181206124103161292.png
Game,372,Dragon Quest,45,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20190305105602522430.png
Film,368,Alita: Battle Angel,43,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20190115031202444718.png
Film,249,Aliens,43,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20170916111505059582.png
Film,313,Avengers：Infinity War,43,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20180324011405812973.png
Film,373,Captain Marvel,43,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20190307171003113775.png
Film,342,Deadpool,43,0,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20180719115903373636.png
